sample_idx,formula,reference_native:terminal_status,reference_native:terminal_verified,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_tau:terminal_status,reference_tau:terminal_verified,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,k4_native:terminal_status,k4_native:terminal_verified,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_tau:terminal_status,k4_tau:terminal_verified,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k8_native:terminal_status,k8_native:terminal_verified,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_tau:terminal_status,k8_tau:terminal_verified,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun
221,O6Sr2AgOs,not_converged,False,known,0.08793065069917105,False,True,False,True,False,False,not_converged,False,known,0.07515475271943473,False,True,False,True,False,False,verified,True,known,0.16622540472749137,False,False,False,False,False,False,not_converged,False,known,0.07536932944062613,False,True,False,True,False,False,verified,True,known,0.19339844702485465,False,False,False,False,False,False,not_converged,False,known,0.007391424167188632,False,True,False,True,False,False
222,O8Na4V4,invalid_terminal,False,known,0.6839436848876961,False,False,False,False,False,False,verified,True,known,0.22481768925170975,False,False,False,False,False,False,invalid_terminal,False,known,3.07086842854004,False,False,False,False,False,False,verified,True,known,0.15367787678222733,False,False,False,False,False,False,invalid_terminal,False,known,3.2345008214233406,False,False,False,False,False,False,not_converged,False,known,0.14237445194702225,False,False,False,False,False,False
223,Ni3Ge,not_converged,False,known,0.6022122289611813,False,False,False,False,False,False,not_converged,False,known,0.04232481975097624,False,True,False,True,False,False,not_converged,False,known,0.6022127057983395,False,False,False,False,False,False,not_converged,False,known,0.042435445971679364,False,True,False,True,False,False,not_converged,False,known,0.6022122289611813,False,False,False,False,False,False,not_converged,False,known,0.04232529658813444,False,True,False,True,False,False
224,Al8Cu4Ho,invalid_terminal,False,known,0.5867057941650389,False,False,False,False,False,False,not_converged,False,known,-0.00941456334838886,True,True,True,True,False,False,not_converged,False,known,0.19997035486450176,False,False,False,False,False,False,not_converged,False,known,-0.008993992974853704,True,True,True,True,False,False,not_converged,False,known,0.08923255426635723,False,True,False,True,False,False,not_converged,False,known,0.01788960916748028,False,True,False,True,False,False
225,Mg2Ag4,not_converged,False,known,0.00920932915384931,False,True,False,True,False,False,not_converged,False,known,0.020512038733317084,False,True,False,True,False,False,not_converged,False,known,0.1941603961246745,False,False,False,False,False,False,not_converged,False,known,0.0208043399112956,False,True,False,True,False,False,not_converged,False,known,0.004452878500773139,False,True,False,True,False,False,not_converged,False,known,0.0067085566776530214,False,True,False,False,False,False
226,Si2Ti2Sr,not_converged,False,known,0.49409009935854264,False,False,False,False,False,False,not_converged,False,known,0.20055534365175554,False,False,False,False,False,False,not_converged,False,known,0.19760276796816179,False,False,False,False,False,False,not_converged,False,known,0.20102121355532,False,False,False,False,False,False,verified,True,known,0.5011000824212868,False,False,False,False,False,False,verified,True,known,0.20034172060488054,False,False,False,False,False,False
227,O12KSr2Sb3Ba2,invalid_terminal,False,known,8.049317705793705,False,False,False,False,False,False,not_converged,False,known,0.0864328028396022,False,True,False,True,False,False,invalid_terminal,False,known,2.890354502363528,False,False,False,False,False,False,not_converged,False,known,0.060620653791750634,False,True,False,True,False,False,invalid_terminal,False,known,2.711237538023318,False,False,False,False,False,False,not_converged,False,known,0.060269701643313134,False,True,False,True,False,False
228,Nd2Hg6,not_converged,False,known,7.1099610839660645,False,False,False,False,False,False,not_converged,False,known,0.02284829958038337,False,True,False,False,False,False,verified,True,known,0.07966094358520515,False,True,False,True,False,True,not_converged,False,known,0.02275543554382331,False,True,False,False,False,False,not_converged,False,known,0.08118777616577155,False,True,False,True,False,False,not_converged,False,known,0.022753051358032295,False,True,False,False,False,False
229,O12Ca2Sr4Tl2,not_converged,False,known,0.3788999509817055,False,False,False,False,False,False,not_converged,False,known,0.14824189662989884,False,False,False,False,False,False,invalid_terminal,False,known,6.623673338890641,False,False,False,False,False,False,not_converged,False,known,0.1170629453664711,False,False,False,False,False,False,not_converged,False,known,0.3496369314199379,False,False,False,False,False,False,not_converged,False,known,0.12685098171290665,False,False,False,False,False,False
230,Li6AlAs2In,verified,True,known,0.11519639237243684,False,False,False,False,False,False,verified,True,known,0.23423115952331575,False,False,False,False,False,False,verified,True,known,0.12911169274169954,False,False,False,False,False,False,not_converged,False,known,0.07248608811218293,False,True,False,True,False,False,not_converged,False,known,0.13112799866516145,False,False,False,False,False,False,not_converged,False,known,0.12242023690063508,False,False,False,False,False,False
231,O6FeCuBaW,not_converged,False,known,0.3032041158557117,False,False,False,False,False,False,not_converged,False,known,0.2034073438525379,False,False,False,False,False,False,not_converged,False,known,0.25351005457641484,False,False,False,False,False,False,not_converged,False,known,0.255545672404784,False,False,False,False,False,False,not_converged,False,known,0.24593788050414922,False,False,False,False,False,False,not_converged,False,known,0.20279556177856328,False,False,False,False,False,False
