split,state_id,composition_id,sample_idx,plan_ordinal,milestone,intervention_position,num_atoms,branches,known_returns,direct_valid,known_actions,action_energy_mean,action_energy_std,action_energy_range,cross_continuation_spearman,cross_pair_agreements,cross_pair_comparisons,oxide,sulfide,n13_20
train,4df3fdc7fd0712b54029c5bc09645c52c093cb4094b22739f175bcb64363441e,13:1|26:3|58:2,193,118,0.6,13,6,8,8,8,8,-6.902287006378174,0.04523547592321094,0.1548142433166504,,0,0,False,False,False
train,4e28a44d48a3f20d14abdda42218890252b85e75716aacca1d99efd2117268b7,26:2|28:1|34:4,187,114,0.6,21,7,8,8,8,8,-5.665856659412384,0.05697356460040969,0.13251543045043945,,0,0,False,False,False
train,4e375f5ba2732051bd4c57d2551b18f0c8f65cd2fa1117b9ad99f96a073a1ffe,16:1|19:1|26:1|34:1,46,24,0.8,18,8,8,8,8,8,-5.201915800571442,0.026004134700279367,0.07074594497680664,,0,0,False,True,False
train,4f4c16a077c9fa49080eaf445a728d49df41cf5ea15397145d9df48405744f4a,6:1|45:3|59:1,163,97,0.6,13,5,8,8,8,8,-7.578192174434662,1.965245676082462e-05,4.6253204345703125e-05,,0,0,False,False,False
train,508302242d16b484d1475fdbe8716f300445b75bac8402c10c23ee36b4f1287e,6:3|24:2|68:2,101,56,0.6,33,7,8,8,8,8,-8.239975690841675,0.09940706042276191,0.2319803237915039,,0,0,False,False,False
train,508f77af99fe95608df1121cbb361953931cea8251140669cf039ce769ff9b91,40:1|51:5|57:3,87,45,0.8,62,18,8,8,8,8,-5.957576155662537,0.025835739736836012,0.07942056655883789,,0,0,False,False,True
train,50b3021d80b42cea9a518a698535c68217bebc616ffc1215b98666be8279efda,6:2|41:1|92:1,129,74,0.6,9,4,8,8,8,8,-10.331811785697937,5.717076686993503e-07,1.9073486328125e-06,,0,0,False,False,False
train,52a45f4450f3d8918019ea7f2a46332cea5fccc66dabfa18e5670237f262a5da,28:1|32:3|71:1,52,27,0.6,29,10,8,8,8,8,-5.2979408502578735,0.009825245186663376,0.024811744689941406,,0,0,False,False,False
train,5358e4495ae1687a97393569b4d09e03c90b74dc2f8db3fbc91d017b4b265aa0,48:1|58:1|78:1,54,28,0.6,21,9,8,8,8,8,-5.064292252063751,0.00023738062196614035,0.0008263587951660156,,0,0,False,False,False
train,536815d25bd0b14204821176dd0f8af08475c581c8fa63dbbee998003e6d0684,16:3|29:3|71:1,79,43,0.8,38,14,8,8,8,8,-5.08202588558197,0.061684035385971704,0.17110013961791992,,0,0,False,True,True
