method,endpoint,sample_idx,comp_valid,Struct_valid,SUN,MSUN,terminal_verified,terminal_status,terminal_energy_eV_atom,hull_energy_eV_atom,energy_above_hull_eV_atom
H1A2_D1,native,117,1,1,0,0,0,not_converged,-7.452223777770996,-7.740286122500001,0.2880623447290045
H1A2_D1,native,118,1,1,0,0,1,verified,-9.42133617401123,-9.849365099916671,0.4280289259054406
H1A2_D1,native,119,1,0,0,0,0,invalid_raw,,-8.289726508000001,
H1A2_D1,native,120,1,1,0,1,0,not_converged,-3.5003585815429688,-3.5660005975000004,0.06564201595703167
H1A2_D1,native,121,1,0,0,0,0,invalid_raw,,-6.086105460714286,
H1A2_D1,native,122,1,0,0,0,0,invalid_raw,,-5.940439314444447,
H1A2_D1,native,123,1,1,0,0,1,verified,-6.655202865600586,-6.834619367222224,0.17941650162163825
H1A2_D1,native,124,1,0,0,0,0,invalid_raw,,-7.3775944704375025,
H1A2_D1,native,125,1,0,0,0,0,invalid_raw,,-6.398109526666665,
H1A2_D1,native,126,1,0,0,0,0,invalid_raw,,-5.879291711666667,
H1A2_D1,native,127,1,0,0,0,0,invalid_raw,,-4.1208782742415355,
H1A2_D1,native,128,0,1,0,0,0,invalid_terminal,-7.692432403564453,-8.499263851666667,0.8068314481022139
H1A2_D1,native,129,1,0,0,0,0,invalid_raw,,-5.6093164792307695,
H1A2_D1,native,130,1,1,0,0,1,verified,-1.004462718963623,-1.944070708125,0.9396079891613769
H1A2_D1,native,131,1,0,0,0,0,invalid_raw,,-5.27874586025,
H1A2_D1,native,132,1,1,0,1,0,not_converged,-4.282241344451904,-4.341222944242425,0.058981599790520534
H1A2_D1,native,133,0,0,0,0,0,invalid_raw,,-8.283025118076925,
H1A2_D1,native,134,1,0,0,0,0,invalid_raw,,-3.690115826608392,
H1A2_D1,native,135,1,1,0,0,0,not_converged,-7.067262649536133,-7.4101133275,0.3428506779638676
H1A2_D1,native,136,1,0,0,0,0,invalid_raw,,-9.086374506015627,
H1A2_D1,native,137,1,1,0,1,0,not_converged,-3.2841758728027344,-3.3255577897222226,0.041381916919488226
H1A2_D1,native,138,1,0,0,0,0,invalid_raw,,-5.985514178847229,
H1A2_D1,native,139,1,1,0,0,1,verified,-6.316473007202148,-6.926639417500001,0.6101664102978521
H1A2_D1,native,140,0,1,0,0,1,verified,-4.882511615753174,-4.989444045,0.10693242924682611
H1A2_D1,native,141,0,1,0,0,0,not_converged,-5.367005348205566,-5.5482818012857145,0.18127645308014806
H1A2_D1,native,142,1,0,0,0,0,invalid_raw,,-8.562077407569447,
H1A2_D1,native,143,1,0,0,0,0,invalid_raw,,-7.708868977374998,
H1A2_D1,native,144,1,1,0,0,1,verified,-6.012432098388672,-6.331120033999999,0.3186879356113268
H1A2_D1,native,145,1,1,0,0,1,verified,-5.679486274719238,-5.909151107187499,0.22966483246826108
H1A2_D1,native,146,1,0,0,0,0,invalid_raw,,-5.872545882,
H1A2_D1,native,147,1,1,0,1,0,not_converged,-6.295099258422852,-6.385504746666666,0.09040548824381478
H1A2_D1,native,148,0,0,0,0,0,invalid_raw,,-5.179524520208334,
H1A2_D1,native,149,1,1,0,0,0,invalid_terminal,6.9870781898498535,-4.195074619591839,11.182152809441693
H1A2_D1,native,150,1,0,0,0,0,invalid_raw,,-4.478896110999999,
H1A2_D1,native,151,1,1,0,0,0,not_converged,-6.125890254974365,-7.350469881111111,1.2245796261367454
H1A2_D1,native,152,1,0,0,0,0,invalid_raw,,-3.8489445024999998,
H1A2_D1,native,153,1,1,0,0,0,not_converged,4.571732521057129,-3.610415597000003,8.182148118057132
H1A2_D1,native,154,1,0,0,0,0,invalid_raw,,-6.055091405,
H1A2_D1,native,155,0,0,0,0,0,invalid_raw,,-4.074633725833333,
H1A2_D1,native,156,1,1,0,1,1,verified,-8.792980194091797,-8.853172124999999,0.06019193090820174
H1A2_D1,native,157,0,0,0,0,0,invalid_raw,,-7.023488505624993,
H1A2_D1,native,158,1,1,0,0,0,not_converged,-6.418669700622559,-6.9884091150000005,0.5697394143774419
H1A2_D1,native,159,1,0,0,0,0,invalid_raw,,-4.630558908749999,
H1A2_D1,native,160,0,0,0,0,0,invalid_raw,,-5.7183457926315775,
H1A2_D1,native,161,1,1,0,0,0,not_converged,-6.754007339477539,-7.263837138888889,0.5098297994113503
H1A2_D1,native,162,1,0,0,0,0,invalid_raw,,-5.172278064375,
H1A2_D1,native,163,1,1,0,1,1,verified,-7.088740348815918,-7.1564276412500005,0.06768729243408256
H1A2_D1,native,164,1,0,0,0,0,invalid_raw,,-5.5955588206666675,
H1A2_D1,native,165,1,1,0,0,0,not_converged,-4.858610153198242,-5.1957255899999994,0.33711543680175726
H1A2_D1,native,166,1,0,0,0,0,invalid_raw,,-6.213327328630953,
H1A2_D1,native,167,1,1,0,0,1,verified,-7.3820953369140625,-7.868006862222222,0.4859115253081594
H1A2_D1,native,168,1,1,0,0,0,not_converged,6.316825866699219,-5.516363594285715,11.833189460984933
H1A2_D1,native,169,1,1,0,0,1,verified,-4.213034152984619,-4.4360599,0.22302574701538092
H1A2_D1,native,170,1,0,0,0,0,invalid_raw,,-7.196764992847221,
H1A2_D1,native,171,1,0,0,0,0,invalid_raw,,-4.9873992312499995,
H1A2_D1,native,172,1,1,0,1,0,not_converged,-4.380310535430908,-4.4561970366666666,0.07588650123575835
