endpoint,feature,band,n,reconstructed,novel,unique_representative,novel_unique,terminal_verified,strict_stable,meta_stable,strict_sun,meta_sun,verified_strict_sun,verified_meta_sun,known_hull,known_finite_terminal,statuses
k8_tau,lattice_condition,<2,127,127,105,126,105,44,9,77,6,58,2,21,123,123,"{""not_converged"": 83, ""verified"": 44}"
k8_tau,lattice_condition,2-4,110,110,95,109,95,35,15,73,11,59,6,25,106,106,"{""not_converged"": 75, ""verified"": 35}"
k8_tau,lattice_condition,>=4,15,15,14,15,14,3,0,7,0,6,0,1,15,15,"{""not_converged"": 12, ""verified"": 3}"
g_native,N,2-4,56,56,56,56,56,20,8,31,8,31,5,14,53,52,"{""invalid_raw"": 2, ""invalid_terminal"": 5, ""not_converged"": 29, ""verified"": 20}"
g_native,N,5-8,60,60,60,60,60,17,1,22,1,22,1,10,59,53,"{""invalid_raw"": 6, ""invalid_terminal"": 9, ""not_converged"": 28, ""verified"": 17}"
g_native,N,9-12,59,59,59,59,59,11,0,7,0,7,0,3,57,47,"{""invalid_raw"": 10, ""invalid_terminal"": 16, ""not_converged"": 22, ""verified"": 11}"
g_native,N,13-20,81,81,81,81,81,12,0,1,0,1,0,1,79,57,"{""invalid_raw"": 22, ""invalid_terminal"": 34, ""not_converged"": 13, ""verified"": 12}"
g_native,arity,1-2,54,54,54,54,54,19,2,23,2,23,1,13,49,43,"{""invalid_raw"": 7, ""invalid_terminal"": 12, ""not_converged"": 16, ""verified"": 19}"
g_native,arity,3,147,147,147,147,147,33,7,34,7,34,5,14,144,124,"{""invalid_raw"": 20, ""invalid_terminal"": 32, ""not_converged"": 62, ""verified"": 33}"
g_native,arity,4+,55,55,55,55,55,8,0,4,0,4,0,1,55,42,"{""invalid_raw"": 13, ""invalid_terminal"": 20, ""not_converged"": 14, ""verified"": 8}"
g_native,volume_per_atom_A3,<5,2,2,2,2,2,0,0,0,0,0,0,0,2,1,"{""invalid_raw"": 1, ""invalid_terminal"": 1}"
g_native,volume_per_atom_A3,5-10,27,27,27,27,27,1,0,1,0,1,0,0,27,15,"{""invalid_raw"": 12, ""invalid_terminal"": 13, ""not_converged"": 1, ""verified"": 1}"
g_native,volume_per_atom_A3,10-20,109,109,109,109,109,17,4,24,4,24,3,7,108,92,"{""invalid_raw"": 16, ""invalid_terminal"": 35, ""not_converged"": 41, ""verified"": 17}"
g_native,volume_per_atom_A3,20-40,105,105,105,105,105,39,4,31,4,31,3,19,98,89,"{""invalid_raw"": 10, ""invalid_terminal"": 14, ""not_converged"": 42, ""verified"": 39}"
g_native,volume_per_atom_A3,>=40,13,13,13,13,13,3,1,5,1,5,0,2,13,12,"{""invalid_raw"": 1, ""invalid_terminal"": 1, ""not_converged"": 8, ""verified"": 3}"
g_native,min_distance_A,<0.5,40,40,40,40,40,0,0,0,0,0,0,0,39,0,"{""invalid_raw"": 40}"
g_native,min_distance_A,0.5-1,102,102,102,102,102,11,3,11,3,11,1,4,100,100,"{""invalid_terminal"": 61, ""not_converged"": 30, ""verified"": 11}"
g_native,min_distance_A,1-1.5,67,67,67,67,67,26,3,26,3,26,3,12,65,65,"{""invalid_terminal"": 3, ""not_converged"": 38, ""verified"": 26}"
g_native,min_distance_A,1.5-2,38,38,38,38,38,17,2,20,2,20,1,9,35,35,"{""not_converged"": 21, ""verified"": 17}"
g_native,min_distance_A,>=2,9,9,9,9,9,6,1,4,1,4,1,3,9,9,"{""not_converged"": 3, ""verified"": 6}"
g_native,mass_density_g_cm3,<2,10,10,10,10,10,0,0,2,0,2,0,0,10,8,"{""invalid_raw"": 2, ""invalid_terminal"": 2, ""not_converged"": 6}"
g_native,mass_density_g_cm3,2-5,80,80,80,80,80,25,2,14,2,14,1,8,80,70,"{""invalid_raw"": 10, ""invalid_terminal"": 10, ""not_converged"": 35, ""verified"": 25}"
g_native,mass_density_g_cm3,5-10,120,120,120,120,120,27,4,32,4,32,2,14,113,94,"{""invalid_raw"": 20, ""invalid_terminal"": 38, ""not_converged"": 35, ""verified"": 27}"
g_native,mass_density_g_cm3,>=10,46,46,46,46,46,8,3,13,3,13,3,6,45,37,"{""invalid_raw"": 8, ""invalid_terminal"": 14, ""not_converged"": 16, ""verified"": 8}"
g_native,lattice_condition,<2,56,56,56,56,56,17,1,12,1,12,1,8,53,41,"{""invalid_raw"": 13, ""invalid_terminal"": 10, ""not_converged"": 16, ""verified"": 17}"
g_native,lattice_condition,2-4,155,155,155,155,155,35,5,39,5,39,3,17,150,130,"{""invalid_raw"": 20, ""invalid_terminal"": 42, ""not_converged"": 58, ""verified"": 35}"
g_native,lattice_condition,>=4,45,45,45,45,45,8,3,10,3,10,2,3,45,38,"{""invalid_raw"": 7, ""invalid_terminal"": 12, ""not_converged"": 18, ""verified"": 8}"
g_tau,N,2-4,56,56,41,55,41,25,8,39,5,26,2,9,53,53,"{""not_converged"": 31, ""verified"": 25}"
g_tau,N,5-8,60,60,54,59,54,23,7,34,5,29,3,12,59,59,"{""not_converged"": 37, ""verified"": 23}"
g_tau,N,9-12,59,59,52,58,52,22,5,33,3,27,1,16,57,57,"{""not_converged"": 37, ""verified"": 22}"
g_tau,N,13-20,81,81,77,81,77,25,0,37,0,34,0,10,79,79,"{""not_converged"": 56, ""verified"": 25}"
g_tau,arity,1-2,54,54,42,53,42,26,5,37,4,29,2,13,49,49,"{""not_converged"": 28, ""verified"": 26}"
g_tau,arity,3,147,147,130,145,130,53,14,82,8,66,4,28,144,144,"{""not_converged"": 94, ""verified"": 53}"
g_tau,arity,4+,55,55,52,55,52,16,1,24,1,21,0,6,55,55,"{""not_converged"": 39, ""verified"": 16}"
g_tau,volume_per_atom_A3,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
g_tau,volume_per_atom_A3,5-10,3,3,2,3,2,0,0,2,0,1,0,0,3,3,"{""not_converged"": 3}"
g_tau,volume_per_atom_A3,10-20,132,132,118,132,118,28,9,60,6,47,1,9,131,131,"{""not_converged"": 104, ""verified"": 28}"
g_tau,volume_per_atom_A3,20-40,116,116,99,113,99,63,9,78,5,65,3,35,109,109,"{""not_converged"": 53, ""verified"": 63}"
g_tau,volume_per_atom_A3,>=40,5,5,5,5,5,4,2,3,2,3,2,3,5,5,"{""not_converged"": 1, ""verified"": 4}"
g_tau,min_distance_A,<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
g_tau,min_distance_A,0.5-1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,"{""not_converged"": 1}"
g_tau,min_distance_A,1-1.5,6,6,6,6,6,1,1,1,1,1,1,1,6,6,"{""not_converged"": 5, ""verified"": 1}"
g_tau,min_distance_A,1.5-2,62,62,59,62,59,13,1,22,1,19,0,3,62,62,"{""not_converged"": 49, ""verified"": 13}"
g_tau,min_distance_A,>=2,187,187,158,184,158,81,18,120,11,96,5,43,179,179,"{""not_converged"": 106, ""verified"": 81}"
g_tau,mass_density_g_cm3,<2,7,7,7,7,7,4,0,1,0,1,0,1,7,7,"{""not_converged"": 3, ""verified"": 4}"
g_tau,mass_density_g_cm3,2-5,88,88,81,88,81,30,1,41,1,34,1,15,88,88,"{""not_converged"": 58, ""verified"": 30}"
g_tau,mass_density_g_cm3,5-10,137,137,117,134,117,53,16,84,11,68,5,27,131,131,"{""not_converged"": 84, ""verified"": 53}"
g_tau,mass_density_g_cm3,>=10,24,24,19,24,19,8,3,17,1,13,0,4,22,22,"{""not_converged"": 16, ""verified"": 8}"
g_tau,lattice_condition,<2,132,132,110,131,110,44,9,74,6,56,2,17,128,128,"{""not_converged"": 88, ""verified"": 44}"
g_tau,lattice_condition,2-4,95,95,86,93,86,41,11,57,7,49,4,26,91,91,"{""not_converged"": 54, ""verified"": 41}"
g_tau,lattice_condition,>=4,29,29,28,29,28,10,0,12,0,11,0,4,29,29,"{""not_converged"": 19, ""verified"": 10}"
g_quantized,N,2-4,56,56,56,56,56,18,5,29,5,29,2,9,53,52,"{""invalid_raw"": 2, ""invalid_terminal"": 7, ""not_converged"": 28, ""optimizer_stop_unverified"": 1, ""verified"": 18}"
g_quantized,N,5-8,60,60,60,60,60,19,1,19,1,19,0,10,59,53,"{""invalid_raw"": 6, ""invalid_terminal"": 9, ""not_converged"": 26, ""verified"": 19}"
g_quantized,N,9-12,59,59,59,59,59,9,0,7,0,7,0,5,57,49,"{""invalid_raw"": 8, ""invalid_terminal"": 17, ""not_converged"": 25, ""verified"": 9}"
g_quantized,N,13-20,81,81,81,81,81,8,0,3,0,3,0,2,79,57,"{""invalid_raw"": 22, ""invalid_terminal"": 31, ""not_converged"": 20, ""verified"": 8}"
g_quantized,arity,1-2,54,54,54,54,54,14,2,21,2,21,1,6,49,43,"{""invalid_raw"": 7, ""invalid_terminal"": 14, ""not_converged"": 19, ""verified"": 14}"
g_quantized,arity,3,147,147,147,147,147,33,4,33,4,33,1,16,144,127,"{""invalid_raw"": 17, ""invalid_terminal"": 32, ""not_converged"": 64, ""optimizer_stop_unverified"": 1, ""verified"": 33}"
g_quantized,arity,4+,55,55,55,55,55,7,0,4,0,4,0,4,55,41,"{""invalid_raw"": 14, ""invalid_terminal"": 18, ""not_converged"": 16, ""verified"": 7}"
g_quantized,volume_per_atom_A3,<5,2,2,2,2,2,0,0,0,0,0,0,0,2,1,"{""invalid_raw"": 1, ""invalid_terminal"": 1}"
g_quantized,volume_per_atom_A3,5-10,27,27,27,27,27,0,0,1,0,1,0,0,27,15,"{""invalid_raw"": 12, ""invalid_terminal"": 12, ""not_converged"": 3}"
g_quantized,volume_per_atom_A3,10-20,109,109,109,109,109,19,4,18,4,18,1,8,108,93,"{""invalid_raw"": 15, ""invalid_terminal"": 36, ""not_converged"": 39, ""verified"": 19}"
g_quantized,volume_per_atom_A3,20-40,104,104,104,104,104,31,2,34,2,34,1,15,97,89,"{""invalid_raw"": 9, ""invalid_terminal"": 14, ""not_converged"": 50, ""verified"": 31}"
g_quantized,volume_per_atom_A3,>=40,14,14,14,14,14,4,0,5,0,5,0,3,14,13,"{""invalid_raw"": 1, ""invalid_terminal"": 1, ""not_converged"": 7, ""optimizer_stop_unverified"": 1, ""verified"": 4}"
g_quantized,min_distance_A,<0.5,38,38,38,38,38,0,0,0,0,0,0,0,37,0,"{""invalid_raw"": 38}"
g_quantized,min_distance_A,0.5-1,104,104,104,104,104,10,2,11,2,11,1,6,102,102,"{""invalid_terminal"": 60, ""not_converged"": 34, ""verified"": 10}"
g_quantized,min_distance_A,1-1.5,67,67,67,67,67,22,2,22,2,22,1,9,65,65,"{""invalid_terminal"": 4, ""not_converged"": 40, ""optimizer_stop_unverified"": 1, ""verified"": 22}"
g_quantized,min_distance_A,1.5-2,39,39,39,39,39,18,1,20,1,20,0,10,36,36,"{""not_converged"": 21, ""verified"": 18}"
g_quantized,min_distance_A,>=2,8,8,8,8,8,4,1,5,1,5,0,1,8,8,"{""not_converged"": 4, ""verified"": 4}"
g_quantized,mass_density_g_cm3,<2,10,10,10,10,10,1,0,2,0,2,0,1,10,8,"{""invalid_raw"": 2, ""invalid_terminal"": 2, ""not_converged"": 5, ""verified"": 1}"
g_quantized,mass_density_g_cm3,2-5,80,80,80,80,80,19,1,19,1,19,0,11,80,71,"{""invalid_raw"": 9, ""invalid_terminal"": 12, ""not_converged"": 39, ""optimizer_stop_unverified"": 1, ""verified"": 19}"
g_quantized,mass_density_g_cm3,5-10,121,121,121,121,121,28,1,26,1,26,1,11,114,95,"{""invalid_raw"": 20, ""invalid_terminal"": 34, ""not_converged"": 39, ""verified"": 28}"
g_quantized,mass_density_g_cm3,>=10,45,45,45,45,45,6,4,11,4,11,1,3,44,37,"{""invalid_raw"": 7, ""invalid_terminal"": 16, ""not_converged"": 16, ""verified"": 6}"
g_quantized,lattice_condition,<2,56,56,56,56,56,12,0,12,0,12,0,6,53,42,"{""invalid_raw"": 12, ""invalid_terminal"": 10, ""not_converged"": 22, ""verified"": 12}"
g_quantized,lattice_condition,2-4,154,154,154,154,154,33,3,35,3,35,2,15,149,130,"{""invalid_raw"": 19, ""invalid_terminal"": 42, ""not_converged"": 60, ""verified"": 33}"
g_quantized,lattice_condition,>=4,46,46,46,46,46,9,3,11,3,11,0,5,46,39,"{""invalid_raw"": 7, ""invalid_terminal"": 12, ""not_converged"": 17, ""optimizer_stop_unverified"": 1, ""verified"": 9}"
