sample_idx,group_id,formula,N,arity,reference_native:reconstructed,reference_native:novel,reference_native:unique_representative,reference_native:novel_unique,reference_native:terminal_verified,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_native:terminal_status,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_tau:reconstructed,reference_tau:novel,reference_tau:unique_representative,reference_tau:novel_unique,reference_tau:terminal_verified,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,reference_tau:terminal_status,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,k4_native:reconstructed,k4_native:novel,k4_native:unique_representative,k4_native:novel_unique,k4_native:terminal_verified,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_native:terminal_status,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_tau:reconstructed,k4_tau:novel,k4_tau:unique_representative,k4_tau:novel_unique,k4_tau:terminal_verified,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k4_tau:terminal_status,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k8_native:reconstructed,k8_native:novel,k8_native:unique_representative,k8_native:novel_unique,k8_native:terminal_verified,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_native:terminal_status,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_tau:reconstructed,k8_tau:novel,k8_tau:unique_representative,k8_tau:novel_unique,k8_tau:terminal_verified,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun,k8_tau:terminal_status,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,g_native:reconstructed,g_native:novel,g_native:unique_representative,g_native:novel_unique,g_native:terminal_verified,g_native:strict_stable,g_native:meta_stable,g_native:strict_sun,g_native:meta_sun,g_native:verified_strict_sun,g_native:verified_meta_sun,g_native:terminal_status,g_native:official_hull_status,g_native:e_above_hull_eV_atom,g_tau:reconstructed,g_tau:novel,g_tau:unique_representative,g_tau:novel_unique,g_tau:terminal_verified,g_tau:strict_stable,g_tau:meta_stable,g_tau:strict_sun,g_tau:meta_sun,g_tau:verified_strict_sun,g_tau:verified_meta_sun,g_tau:terminal_status,g_tau:official_hull_status,g_tau:e_above_hull_eV_atom
89,eval:89,Li2O8F2P2In4,18,5,True,True,True,True,False,True,True,True,True,False,False,invalid_terminal,known,-2.707389017582469,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1347840819353534,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2940090689653827,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08749280309624208,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.20738969182915223,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06909976339287294,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.8293236289019061,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17402015066093934
90,eval:90,S2Se2Eu2,6,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.11259789407825593,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09362311304187898,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.11392826974964265,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10366005838489656,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.07762904108142976,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10240549982166414,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,11.134875726109506,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10653157175159578
91,eval:91,O8La2Pb2,12,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.4621039344763167,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.16503390807861162,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.2843454791998274,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1135474159216292,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,3.63586482543701,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.12093982238525225,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.5008912994360335,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1614118530249007
92,eval:92,O12Ca4Fe2Ho2,20,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.373854685730957,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10699563116552735,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.485938120789551,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04780964941503907,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.5402145871591797,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.047989417023681646,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.1018190869760742,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.047951270051025396
93,eval:93,O2ZnSr,4,3,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10664621828613274,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10574642656860345,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10429159639892571,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3067852640014648,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1243387842041015,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.17226521013793938,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10586897371826165,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10561100481567376
94,eval:94,NaSc2As6Tl,10,4,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.13088961915340125,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06438847855891883,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10631057099666297,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09441539124812781,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.1528255589422196,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0547258503850907,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11364289597835242,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.057082379620930546
95,eval:95,O6Al2In2,10,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.8458818725739743,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.062999658981445,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.2513717941437985,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.07183402101147429,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1468943885957028,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06309407273876921,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.1532248787080075,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.13945906678784148
96,eval:96,CaCd2Nd,4,3,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03627787264526372,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.030357939326171923,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03627834948242192,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.03035722407043462,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.03627739580810552,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.03035603197753911,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,7.170266729914551,True,False,True,False,True,False,True,False,False,False,False,verified,known,0.030402762019043017
97,eval:97,SrAg3,4,2,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,10.141562091750489,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0678838366693113,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,10.085282909316406,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.05496655647216775,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,10.08845292274414,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.054996597213134546,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.04855834190307595,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.05506764594970681
98,eval:98,Ni6As2,8,2,True,True,True,True,False,False,True,False,True,False,False,invalid_terminal,known,0.02658565804362034,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10654934212565159,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.7889676885306809,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.044699748009440654,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.2637124852836106,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.10639150902628636,True,True,True,True,False,False,True,False,True,False,False,invalid_terminal,known,0.07928951546549534,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04442795082926487
